"reviews"	Translation	Positive	Negative	EmotionRationale
"517" "Very easy to use farm management tool"	"517" "Very easy to use farm management tool"	1	-1	 "517[0] Very[0] easy[0] to[0] use[0] farm[0] management[0] tool[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"518" "Great app for managing my wildlife food plots!"	"518" "Great ap for managing my wildlife food plots!	3	-1	 "518[0] Great[2] app/ap[0] for[0] managing[0] my[0] wildlife[0] food[0] plots[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"519" "Very nice and easy to use"	"519" "Very nice and easy to use"	3	-1	 "519[0] Very[0] nice[1][1 LastWordBoosterStrength] and[0] easy[0] to[0] use[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"520" "Nowhere in the discription does it say i have to register or login until you download the bloody app"	"520" "Nowhere in the discription does it say i have to register or login until you download the bloody ap"	1	-2	 "520[0] Nowhere[0] in[0] the[0] discription[0] does[0] it[0] say[0] i[0] have[0] to[0] register[0] or[0] login[0] until[0] you[0] download[0] the[0] bloody[-1] app/ap[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"521" "Very good app. Am enjoying using it. I like the new updates."	"521" "Very good ap.<br> Am enjoying using it.<br> I like the new updates.	3	-1	 "521[0] Very[0] good[1][1 LastWordBoosterStrength] app/ap[0] [[Sentence=-1,3=word max, 1-5]] Am[0] enjoying[2] using[0] it[0] [[Sentence=-1,3=word max, 1-5]] I[0] like[1] the[0] new[0] updates[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"522" "I would like it to have more flok movement actions."	"522" "I would like it to have more flok movement actions.	1	-1	 "522[0] I[0] would[0] like[1][-1 LastWordBoosterStrength] it[0] to[0] have[0] more[0] flok[0] movement[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"523" "Fantastic! Use this all the time!!"	"523" "Fantastic!<br> Use this all the time!	3	-1	 "523[0] Fantastic[2] [[Sentence=-1,3=word max, 1-5]] Use[0] this[0] all[0] the[0] time[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"524" "Very good tool and not so invasive"	"524" "Very good tool and not so invasive"	3	-1	 "524[0] Very[0] good[1][1 LastWordBoosterStrength] tool[0] and[0] not[0] so[0] invasive[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"525" "Still learning but finding it friendly"	"525" "Still learning but finding it friendly"	2	-1	 "525[0] Still[0] learning[0] but[0] finding[0] it[0] friendly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"526" "The app is fantastically doing well , update your satelite to cover more. Pls How can we partner to maximise access of farm land to the farmers in my country ?"	"526" "The ap is fantastically doing well , update your satelite to cover more.<br> Pls How can we partner to maximise access of farm land to the farmers in my country ?	1	-1	 "526[0] The[0] app/ap[0] is[0] fantastically[0] doing[0] well[0] update[0] your[0] satelite[0] to[0] cover[0] more[0] [[Sentence=-1,1=word max, 1-5]] Pls[0] How[0] can[0] we[0] partner[0] to[0] maximise[0] access[0] of[0] farm[0] land[0] to[0] the[0] farmers[0] in[0] my[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"527" "Can't really say anything nice because for some reason I can't download the app"	"527" "Can't really say anything nice because for some reason I can't download the ap"	2	-1	 "527[0] Can't[0] really[0] say[0] anything[0] nice[1] because[0] for[0] some[0] reason[0] I[0] can't[0] download[0] the[0] app/ap[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"528" "Easy to load. Easy to share between employees."	"528" "Easy to load.<br> Easy to share between employees.	1	-1	 "528[0] Easy[0] to[0] load[0] [[Sentence=-1,1=word max, 1-5]] Easy[0] to[0] share[0] between[0] employees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"529" "Extremely inaccurate measurements on acreage."	"529" "Extremely inaccurate measurements on acreage.	1	-1	 "529[0] Extremely[0] inaccurate[0] measurements[0] on[0] acreage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"530" "Great app for farm land management"	"530" "Great ap for farm land management"	3	-1	 "530[0] Great[2] app/ap[0] for[0] farm[0] land[0] management[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"531" "It's manage the farm and it highly recommended app"	"531" "It's manage the farm and it highly recommended ap"	1	-1	 "531[0] It's[0] manage[0] the[0] farm[0] and[0] it[0] highly[0] recommended[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"532" "Easy to work with"	"532" "Easy to work with"	1	-1	 "532[0] Easy[0] to[0] work[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"533" "Looking forward to better control of activities and programmes at my farms."	"533" "Looking forward to better control of activities and programmes at my farms.	1	-1	 "533[0] Looking[0] forward[0] to[0] better[0] control[0] of[0] activities[0] and[0] programmes[0] at[0] my[0] farms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"534" "Great! Keep up the good work."	"534" "Great!<br> Keep up the good work.	3	-1	 "534[0] Great[2] [[Sentence=-1,3=word max, 1-5]] Keep[0] up[0] the[0] good[1] work[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"535" "It's a great management tool"	"535" "It's a great management tool"	3	-1	 "535[0] It's[0] a[0] great[2] management[0] tool[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"536" "Good for correcting pad sizes"	"536" "Good for correcting pad sizes"	2	-1	 "536[0] Good[1] for[0] correcting[0] pad[0] sizes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"537" "Best farming app I've used so far. Definitely recommend."	"537" "Best farming ap I've used so far.<br> Definitely recommend.	2	-1	 "537[0] Best[1] farming[0] app/ap[0] I've[0] used[0] so[0] far[0] [[Sentence=-1,2=word max, 1-5]] Definitely[0] recommend[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"538" "Good app but need many improvement."	"538" "Good ap but need many improvement.	2	-1	 "538[0] Good[1] app/ap[0] but[0] need[0] many[0] improvement[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"539" "This a great app easy to use great reminder app deff recommend"	"539" "This a great ap easy to use great reminder ap deff recommend"	3	-1	 "539[0] This[0] a[0] great[2] app/ap[0] easy[0] to[0] use[0] great[2] reminder[0] app/ap[0] deff[0] recommend[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"540" "Do not care for apps that require me to sign"	"540" "Do not care for apps that require me to sign"	1	-2	 "540[0] Do[0] not[0] care[1][NegatedDueToPreviousWord] for[0] apps[0] that[0] require[0] me[0] to[0] sign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"541" "This app is the best, me up the good work."	"541" "This ap is the best, me up the good work.	2	-1	 "541[0] This[0] app/ap[0] is[0] the[0] best[1] me[0] up[0] the[0] good[1] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"542" "Incredible you must work to get your farm together doesn't come automatically"	"542" "Incredible you must work to get your farm together doesn't come automatically"	1	-1	 "542[0] Incredible[0] you[0] must[0] work[0] to[0] get[0] your[0] farm[0] together[0] doesn't[0] come[0] automatically[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"543" "Very helpful app"	"543" "Very helpful ap"	3	-1	 "543[0] Very[0] helpful[1][1 LastWordBoosterStrength] app/ap[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"544" "Goodday can you guys please put in a circle that i can use for center pivots"	"544" "Goodday can you guys please put in a circle that i can use for center pivots"	2	-1	 "544[0] Goodday[0] can[0] you[0] guys[0] please[1] put[0] in[0] a[0] circle[0] that[0] i[0] can[0] use[0] for[0] center[0] pivots[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"545" "Way to expensive Right idea but not worth 270 a year"	"545" "Way to expensive Right idea but not worth 270 a year"	1	-2	 "545[0] Way[0] to[0] expensive[-1] Right[0] idea[0] but[0] not[0] worth[0] 270[0] a[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"546" "Why do I need to register and give my info?"	"546" "Why do I need to register and give my info?	1	-1	 "546[0] Why[0] do[0] I[0] need[0] to[0] register[0] and[0] give[0] my[0] info[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"547" "awesome app for farm"	"547" "awesome ap for farm"	3	-1	 "547[0] awesome[2] app/ap[0] for[0] farm[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"548" "Can't see anything until you register ."	"548" "Can't see anything until you register .	1	-1	 "548[0] Can't[0] see[0] anything[0] until[0] you[0] register[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"549" "Field margin is amazing"	"549" "Field margin is amazing"	3	-1	 "549[0] Field[0] margin[0] is[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"550" "Best managing app"	"550" "Best managing ap"	2	-1	 "550[0] Best[1] managing[0] app/ap[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"551" "This is great"	"551" "This is great"	3	-1	 "551[0] This[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"552" "It's realy nice"	"552" "It's realy nice"	2	-1	 "552[0] It's[0] realy[0] nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"553" "It is helpfully"	"553" "It is helpfully"	2	-1	 "553[0] It[0] is[0] helpfully[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"554" "Waiting for App"	"554" "Waiting for Ap"	1	-1	 "554[0] Waiting[0] for[0] App/Ap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"555" "Brilliant app. Been with the from the start and the continious interaction from staff and development off the apo has been a huge advantage for me and my farm. Great work team."	"55" "Brilliant ap.<br> Been with the from the start and the continious interaction from staff and development off the apo has been a huge advantage for me and my farm.<br> Great work team.	3	-1	 "555/"55[0] Brilliant[1] app/ap[0] [[Sentence=-1,2=word max, 1-5]] Been[0] with[0] the[0] from[0] the[0] start[0] and[0] the[0] continious[0] interaction[0] from[0] staff[0] and[0] development[0] off[0] the[0] apo[0] has[0] been[0] a[0] huge[0] advantage[0] for[0] me[0] and[0] my[0] farm[0] [[Sentence=-1,1=word max, 1-5]] Great[2] work[0] team[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"556" "User Friendly"	"556" "User Friendly"	2	-1	 "556[0] User[0] Friendly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"557" "Excellent"	"557" "Excellent"	4	-1	 "557[0] Excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
"558" "Gd"	"558" "Gd"	1	-1	 "558[0] Gd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"559" "Terrible."	"559" "Terrible.	1	-4	 "559[0] Terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
"560" "Awesome  U 0001F60A "	"560" "Awesome  U 001F60A "	3	-1	 "560[0] Awesome[2] U[0] 0001F60A/001F60A[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"561" "Good no"	"561" "Good no"	2	-1	 "561[0] Good[1] no[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"562" "Best!"	"562" "Best!	2	-1	 "562[0] Best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"563" "Handy tool"	"563" "Handy tool"	1	-1	 "563[0] Handy[0] tool[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"564" "Awesome app U 0001F44C  U 0001F3FB "	"564" "Awesome ap U 001F44C  U 001F3FB "	3	-1	 "564[0] Awesome[2] app/ap[0] U[0] 0001F44C/001F44C[0] U[0] 0001F3FB/001F3FB[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"565" "Great tool."	"565" "Great tool.	3	-1	 "565[0] Great[2] tool[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"566" "Fair"	"566" "Fair"	1	-1	 "566[0] Fair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"567" "Good"	"567" "Good"	2	-1	 "567[0] Good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"568" "nice app"	"568" "nice ap"	2	-1	 "568[0] nice[1] app/ap[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"569" "Brilliant"	"569" "Brilliant"	2	-1	 "569[0] Brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"570" "Very useful"	"570" "Very useful"	3	-1	 "570[0] Very[0] useful[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"571" "Nice to see a proper native app that has a great user experience!"	"571" "Nice to see a proper native ap that has a great user experience!	3	-1	 "571[0] Nice[1] to[0] see[0] a[0] proper[0] native[0] app/ap[0] that[0] has[0] a[0] great[2] user[0] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"572" "Really nice app. I like the ability to invite people and map out terrain regions."	"572" "Really nice ap.<br> I like the ability to invite people and map out terrain regions.	3	-1	 "572[0] Really[0] nice[1][1 LastWordBoosterStrength] app/ap[0] [[Sentence=-1,3=word max, 1-5]] I[0] like[1] the[0] ability[0] to[0] invite[0] people[0] and[0] map[0] out[0] terrain[0] regions[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"573" "App says it's compatible but will not allow me to sign in. Desktop is great"	"573" "Ap says it's compatible but will not allow me to sign in.<br> Desktop is great"	3	-1	 "573[0] App/Ap[0] says[0] it's[0] compatible[0] but[0] will[0] not[0] allow[0] me[0] to[0] sign[0] in[0] [[Sentence=-1,1=word max, 1-5]] Desktop[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"574" "Like it"	"574" "Like it"	2	-1	 "574[0] Like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"575" "Excellent"	"575" "Excellent"	4	-1	 "575[0] Excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
"576" "Nice"	"576" "Nice"	2	-1	 "576[0] Nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"577" "Excellent app for accurate measurements, very easy to pin exactly where you want to measure. I use the manual measuring tool a lot for measuring field boundaries and general yard measuring for building jobs etc. The GPS measuring tool isn't that great but I put that down to my phone's GPS quality rather than the app. Ads aren't too intrusive either."	"577" "Excellent ap for accurate measurements, very easy to pin exactly where you want to measure.<br> I use the manual measuring tool a lot for measuring field boundaries and general yard measuring for building jobs etc.<br> The GPS measuring tool isn't that great but I put that down to my phone's GPS quality rather than the ap.<br> Ads aren't too intrusive either.	4	-3	 "577[0] Excellent[3] app/ap[0] for[0] accurate[0] measurements[0] very[0] easy[0] to[0] pin[0] exactly[0] where[0] you[0] want[0] to[0] measure[0] [[Sentence=-1,4=word max, 1-5]] I[0] use[0] the[0] manual[0] measuring[0] tool[0] a[0] lot[0] for[0] measuring[0] field[0] boundaries[0] and[0] general[0] yard[0] measuring[0] for[0] building[0] jobs[0] etc[0] [[Sentence=-1,1=word max, 1-5]] The[0] GPS[0] measuring[0] tool[0] isn't[0] that[0] great[2][NegatedDueToPreviousWord] but[0] I[0] put[0] that[0] down[0] to[0] my[0] phone's[0] GPS[0] quality[0] rather[0] than[0] the[0] app/ap[0] [[Sentence=-3,1=word max, 1-5]] Ads[0] aren't[0] too[0] intrusive[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[4,-3 max of sentences]]]
"578" "It's so useful app for me as a farmer. I was using it in my old phone and it did a great job, but the thing is my new phone doesn't allow this app to use GPS when the screen is off. This is a problem for me because the farmland is big and takes a good time to have a circle around it. Also while jogging I can't put it in my pocket with the screen still turned on."	"578" "It's so useful ap for me as a farmer.<br> I was using it in my old phone and it did a great job, but the thing is my new phone doesn't allow this ap to use GPS when the screen is off.<br> This is a problem for me because the farmland is big and takes a good time to have a circle around it.<br> Also while jogging I can't put it in my pocket with the screen still turned on.	3	-2	 "578[0] It's[0] so[0] useful[1] app/ap[0] for[0] me[0] as[0] a[0] farmer[0] [[Sentence=-1,2=word max, 1-5]] I[0] was[0] using[0] it[0] in[0] my[0] old[0] phone[0] and[0] it[0] did[0] a[0] great[2] job[0] but[0] the[0] thing[0] is[0] my[0] new[0] phone[0] doesn't[0] allow[0] this[0] app/ap[0] to[0] use[0] GPS[0] when[0] the[0] screen[0] is[0] off[0] [[Sentence=-1,3=word max, 1-5]] This[0] is[0] a[0] problem[-1] for[0] me[0] because[0] the[0] farmland[0] is[0] big[0] and[0] takes[0] a[0] good[1] time[0] to[0] have[0] a[0] circle[0] around[0] it[0] [[Sentence=-2,2=word max, 1-5]] Also[0] while[0] jogging[0] I[0] can't[0] put[0] it[0] in[0] my[0] pocket[0] with[0] the[0] screen[0] still[0] turned[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
"579" "A Very Good Experience. Excellent app to track your movement and measure the distances covered. I needed to measure the area of my agricultural land and it helped me alright."	"579" "A Very Good Experience.<br> Excellent ap to track your movement and measure the distances covered.<br> I needed to measure the area of my agricultural land and it helped me alright.	4	-1	 "579[0] A[0] Very[0] Good[1][1 LastWordBoosterStrength] Experience[0] [[Sentence=-1,3=word max, 1-5]] Excellent[3] app/ap[0] to[0] track[0] your[0] movement[0] and[0] measure[0] the[0] distances[0] covered[0] [[Sentence=-1,4=word max, 1-5]] I[0] needed[0] to[0] measure[0] the[0] area[0] of[0] my[0] agricultural[0] land[0] and[0] it[0] helped[0] me[0] alright[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
"580" "if you looking for an app that calculate distance and meassurs area accurate then you have to try this app. it helps properly for field and area measurements. but the price for premium upgrade is high. app management have to reduce price. i hope they consider that point."	"580" "if you looking for an ap that calculate distance and meassurs area accurate then you have to try this ap.<br> it helps properly for field and area measurements.<br> but the price for premium upgrade is high.<br> ap management have to reduce price.<br> i hope they consider that point.	3	-1	 "580[0] if[0] you[0] looking[0] for[0] an[0] app/ap[0] that[0] calculate[0] distance[0] and[0] meassurs[0] area[0] accurate[0] then[0] you[0] have[0] to[0] try[0] this[0] app/ap[0] [[Sentence=-1,1=word max, 1-5]] it[0] helps[0] properly[0] for[0] field[0] and[0] area[0] measurements[0] [[Sentence=-1,1=word max, 1-5]] but[0] the[0] price[0] for[0] premium[0] upgrade[0] is[0] high[0] [[Sentence=-1,1=word max, 1-5]] app/ap[0] management[0] have[0] to[0] reduce[0] price[0] [[Sentence=-1,1=word max, 1-5]] i[0] hope[2] they[0] consider[0] that[0] point[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"581" "It allows you to measure a site, without having to physically go to a site, so I can give estimates to potential customers. Very convenient and time saving."	"581" "It allows you to measure a site, without having to physically go to a site, so I can give estimates to potential customers.<br> Very convenient and time saving.	1	-1	 "581[0] It[0] allows[0] you[0] to[0] measure[0] a[0] site[0] without[0] having[0] to[0] physically[0] go[0] to[0] a[0] site[0] so[0] I[0] can[0] give[0] estimates[0] to[0] potential[0] customers[0] [[Sentence=-1,1=word max, 1-5]] Very[0] convenient[0] and[0] time[0] saving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"582" "It's one of the best applications for measure the area, distance and find the point, it's very useful and easy to work,but I don't know that, can I send the saved file to another computer or application for print the map? thank you"	"582" "It's one of the best applications for measure the area, distance and find the point, it's very useful and easy to work,but I don't know that, can I send the saved file to another computer or application for print the map?<br> thank you"	3	-1	 "582[0] It's[0] one[0] of[0] the[0] best[1] applications[0] for[0] measure[0] the[0] area[0] distance[0] and[0] find[0] the[0] point[0] it's[0] very[0] useful[1][1 LastWordBoosterStrength] and[0] easy[0] to[0] work[0] but[0] I[0] don't[0] know[0] that[0] can[0] I[0] send[0] the[0] saved[1] file[0] to[0] another[0] computer[0] or[0] application[0] for[0] print[0] the[0] map[0] [[Sentence=-1,3=word max, 1-5]] thank[1] you[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
"583" "This looks useful, but I have a few questions. 1. Is it possible to outline several areas on a single map, and print them all on the same map? Can the Pro version do this? 2. On Google Play, the Pro version is listed for  16.99, but in-app there is an option to upgrade to \"premium\" for  54.99 per year. Why the big discrepancy? What is the difference? 3. Is there an English website? There is a website link on Google Play, but it is not in English."	"583" "This looks useful, but I have a few questions.<br> 1.<br> Is it possible to outline several areas on a single map, and print them all on the same map?<br> Can the Pro version do this?<br> 2.<br> On Google Play, the Pro version is listed for  16.99, but in-ap there is an option to upgrade to \"premium\" for  54.99 per year.<br> Why the big discrepancy?<br> What is the difference?<br> 3.<br> Is there an English website?<br> There is a website link on Google Play, but it is not in English.	2	-1	 "583[0] This[0] looks[0] useful[1] but[0] I[0] have[0] a[0] few[0] questions[0] [[Sentence=-1,2=word max, 1-5]] 1[0] [[Sentence=-1,1=word max, 1-5]] Is[0] it[0] possible[0] to[0] outline[0] several[0] areas[0] on[0] a[0] single[0] map[0] and[0] print[0] them[0] all[0] on[0] the[0] same[0] map[0] [[Sentence=-1,1=word max, 1-5]] Can[0] the[0] Pro[0] version[0] do[0] this[0] [[Sentence=-1,1=word max, 1-5]] 2[0] [[Sentence=-1,1=word max, 1-5]] On[0] Google[0] Play[0] the[0] Pro[0] version[0] is[0] listed[0] for[0] 16[0] .99[0] but[0] in[0] app/ap[0] there[0] is[0] an[0] option[0] to[0] upgrade[0] to[0] \[0] premium\[0] for[0] 54[0] .99[0] per[0] year[0] [[Sentence=-1,1=word max, 1-5]] Why[0] the[0] big[0] discrepancy[0] [[Sentence=-1,1=word max, 1-5]] What[0] is[0] the[0] difference[0] [[Sentence=-1,1=word max, 1-5]] 3[0] [[Sentence=-1,1=word max, 1-5]] Is[0] there[0] an[0] English[0] website[0] [[Sentence=-1,1=word max, 1-5]] There[0] is[0] a[0] website[0] link[0] on[0] Google[0] Play[0] but[0] it[0] is[0] not[0] in[0] English[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
"584" "This is the best ever app I have been using since 2018 to measure farms area and also used for navigation while fishing.Very simple and easy to use and works on any android device.No hesitation to rate 5 stars and recommended my friends to download and use and thumbs up frm them."	"584" "This is the best ever ap I have been using since 2018 to measure farms area and also used for navigation while fishing.<br>Very simple and easy to use and works on any android device.<br>No hesitation to rate 5 stars and recommended my friends to download and use and thumbs up frm them.	2	-1	 "584[0] This[0] is[0] the[0] best[1] ever[0] app/ap[0] I[0] have[0] been[0] using[0] since[0] 2018[0] to[0] measure[0] farms[0] area[0] and[0] also[0] used[0] for[0] navigation[0] while[0] fishing[0] [[Sentence=-1,2=word max, 1-5]] Very[0] simple[0] and[0] easy[0] to[0] use[0] and[0] works[0] on[0] any[0] android[0] device[0] [[Sentence=-1,1=word max, 1-5]] No[0] hesitation[0] to[0] rate[0] 5[0] stars[0] and[0] recommended[0] my[0] friends[1] to[0] download[0] and[0] use[0] and[0] thumbs[0] up[0] frm[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"585" "Do not waste your time or money you can get countless others for free that are exactly the same . no reason to be paying it's been a year now since I 1st downloaded this and I somehow accidentally paid the  55 for a full year subscription which I tried to cancel immediately and upon doing so really realized how much Of scam artist I was working with here they they refused to refund my money . It was not a half of a year later that is a lie and he knows it. I'll copy the emails and post here"	"585" "Do not waste your time or money you can get countless others for free that are exactly the same .<br> no reason to be paying it's been a year now since I 1st downloaded this and I somehow accidentally paid the  55 for a full year subscription which I tried to cancel immediately and upon doing so really realized how much Of scam artist I was working with here they they refused to refund my money .<br> It was not a half of a year later that is a lie and he knows it.<br> I'll copy the emails and post here"	2	-2	 "585[0] Do[0] not[0] waste[-1][NegatedDueToPreviousWord] your[0] time[0] or[0] money[0] you[0] can[0] get[0] countless[0] others[0] for[0] free[0] that[0] are[0] exactly[0] the[0] same[0] [[Sentence=-1,2=word max, 1-5]] no[0] reason[0] to[0] be[0] paying[0] it's[0] been[0] a[0] year[0] now[0] since[0] I[0] 1st[0] downloaded[0] this[0] and[0] I[0] somehow[0] accidentally[-1] paid[0] the[0] 55[0] for[0] a[0] full[0] year[0] subscription[0] which[0] I[0] tried[0] to[0] cancel[-1] immediately[0] and[0] upon[0] doing[0] so[0] really[0] realized[0] how[0] much[0] Of[0] scam[0] artist[0] I[0] was[0] working[0] with[0] here[0] they[0] they[0] refused[-1] to[0] refund[0] my[0] money[0] [[Sentence=-2,1=word max, 1-5]] It[0] was[0] not[0] a[0] half[0] of[0] a[0] year[0] later[0] that[0] is[0] a[0] lie[0] and[0] he[0] knows[0] it[0] [[Sentence=-1,1=word max, 1-5]] I'll[0] copy[0] the[0] emails[0] and[0] post[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
"586" "This is a great app I use it everyday. I would give it a 5 if they would update the map. My farm has changed so much in the last 3 years with new races and hedges being ripped out but with no change to the map it makes it difficult"	"586" "This is a great ap I use it everyday.<br> I would give it a 5 if they would update the map.<br> My farm has changed so much in the last 3 years with new races and hedges being ripped out but with no change to the map it makes it difficult"	3	-2	 "586[0] This[0] is[0] a[0] great[2] app/ap[0] I[0] use[0] it[0] everyday[0] [[Sentence=-1,3=word max, 1-5]] I[0] would[0] give[0] it[0] a[0] 5[0] if[0] they[0] would[0] update[0] the[0] map[0] [[Sentence=-1,1=word max, 1-5]] My[0] farm[0] has[0] changed[0] so[0] much[0] in[0] the[0] last[0] 3[0] years[0] with[0] new[0] races[0] and[0] hedges[0] being[0] ripped[0] out[0] but[0] with[0] no[0] change[0] to[0] the[0] map[0] it[0] makes[0] it[0] difficult[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
"587" "Very good app. It is best alternative of Costly GPS meter. But GPS meter is always best and accurate"	"587" "Very good ap.<br> It is best alternative of Costly GPS meter.<br> But GPS meter is always best and accurate"	3	-2	 "587[0] Very[0] good[1][1 LastWordBoosterStrength] app/ap[0] [[Sentence=-1,3=word max, 1-5]] It[0] is[0] best[1] alternative[0] of[0] Costly[-1] GPS[0] meter[0] [[Sentence=-2,2=word max, 1-5]] But[0] GPS[0] meter[0] is[0] always[0] best[1] and[0] accurate[0] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
"588" "I love this app. You can stick to its simple settings or options or go into more skilled tweaking if the nodes, which ever suits you. It gives quick results."	"588" "I love this ap.<br> You can stick to its simple settings or options or go into more skilled tweaking if the nodes, which ever suits you.<br> It gives quick results.	3	-1	 "588[0] I[0] love[2] this[0] app/ap[0] [[Sentence=-1,3=word max, 1-5]] You[0] can[0] stick[0] to[0] its[0] simple[0] settings[0] or[0] options[0] or[0] go[0] into[0] more[0] skilled[0] tweaking[0] if[0] the[0] nodes[0] which[0] ever[0] suits[0] you[0] [[Sentence=-1,1=word max, 1-5]] It[0] gives[0] quick[0] results[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
